NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE & C SAS,04764730638,04764730638,BIOCARBURANTI,GSEWEBP20210280640,377,quantita,5,2021
ENERGOSUISSE AG,03912960980,03912960980,BIOCARBURANTI,GSEWEBP20210250487,26,quantita,4,2021
ENI SPA,00484960588,00905811006,BIOCARBURANTI,GSEWEBP20210316456,503416,quantita,6,2021
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI,GSEWEBP20210250488,249372,quantita,4,2021
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI,GSEWEBP20210469379,-81,quantita,8,2021
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI,GSEWEBP20210316458,51473,quantita,6,2021
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI,GSEWEBP20210339924,13462,quantita,6,2021
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI,GSEWEBP20210316459,40797,quantita,6,2021
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI,GSEWEBP20210316457,222879,quantita,6,2021
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI,GSEWEBP20210389337,223166,quantita,7,2021
LEVANTOIL,06630440821,06630440821,BIOCARBURANTI,GSEWEBP20210339925,459,quantita,6,2021
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI,GSEWEBP20210316460,13897,quantita,6,2021
PIVA IMONE CARBURANTI SRL,01280900281,01280900281,BIOCARBURANTI,GSEWEBP20210439164,898,quantita,7,2021
REPSOL ITALIA S.P.A.,00151550340,00151550340,BIOCARBURANTI,GSEWEBP20210284048,1334,quantita,5,2021
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI,GSEWEBP20210250489,17009,quantita,4,2021
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI,GSEWEBP20210316455,87773,quantita,6,2021
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI,GSEWEBP20210250490,68837,quantita,4,2021
