NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE e C SAS,04764730638,04764730638,BIOCARBURANTI AVANZATI,GSEWEB2023385527NP,214,quantita,5,2023
ENI SPA,00484960588,00905811006,BIOCARBURANTI AVANZATI,GSEWEB2023607615NP,195467,quantita,8,2023
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI AVANZATI,GSEWEB2023448612NP,146747,quantita,6,2023
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI AVANZATI,GSEWEB2023391328NP,12936,quantita,5,2023
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI AVANZATI,GSEWEB2023391329NP,22859,quantita,5,2023
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI AVANZATI,GSEWEB2023491688NP,29781,quantita,6,2023
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI AVANZATI,GSEWEB2023385543NP,189330,quantita,5,2023
JENERGY S.P.A.,15928651007,15928651007,BIOCARBURANTI AVANZATI,GSEWEB2023391330NP,332,quantita,5,2023
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI AVANZATI,GSEWEB2023385546NP,139803,quantita,5,2023
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI AVANZATI,GSEWEB2023412591NP,5173,quantita,5,2023
LUKOIL ITALIA SRL,10246551005,10246551005,BIOCARBURANTI AVANZATI,GSEWEB2023385544NP,421,quantita,5,2023
MAGIGAS SPA,00408880474,00408880474,BIOCARBURANTI AVANZATI,GSEWEB2023385545NP,39,quantita,5,2023
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI AVANZATI,GSEWEB2023385549NP,11874,quantita,5,2023
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI AVANZATI,GSEWEB2023385548NP,35048,quantita,5,2023
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI AVANZATI,GSEWEB2023393165NP,54067,quantita,5,2023
VEGA CARBURANTI S.P.A.,00167460278,00167460278,BIOCARBURANTI AVANZATI,GSEWEB2023391331NP,4906,quantita,5,2023
