NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,201165.46,euro,1,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,388095.69,euro,3,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,221394.09,euro,4,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,167450.58,euro,5,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,188054.2,euro,6,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,182060.45,euro,7,2025
A.C.I.A.M. S.P.A.,90012310661,01361940669,BIOMETANO,BMT_10170_I,188803.35,euro,8,2025
A2A AMBIENTE S.P.A.,01255650168,01066840180,BIOMETANO,BMT_010174_I,1041985.19,euro,3,2025
A2A AMBIENTE S.P.A.,01255650168,01066840180,BIOMETANO,BMT_010174_I,1170875.02,euro,8,2025
A2A AMBIENTE S.P.A.,01255650168,01066840180,BIOMETANO,BMT_010176_I,1040284.86,euro,3,2025
A2A AMBIENTE S.P.A.,01255650168,01066840180,BIOMETANO,BMT_010176_I,1476815.46,euro,8,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10089_I,69690.33,euro,4,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10089_R,35495.49,euro,3,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10089_R,13221.31,euro,4,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10282_I,42338.77,euro,4,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10282_R,6601.82,euro,3,2025
ACEA ATO 2 S.P.A.,05848061007,05848061007,BIOMETANO,BMT_10282_R,24212.98,euro,4,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10089_I,65943.48,euro,8,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10089_R,28514.01,euro,7,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10089_R,14307.47,euro,8,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10282_I,117649.84,euro,8,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10282_R,54134.82,euro,7,2025
ACEA ATO2,05848061007,05848061007,BIOMETANO,BMT_10282_R,22922,euro,8,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,117401.45,euro,1,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,128072.97,euro,2,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,154537.52,euro,3,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,160434.68,euro,4,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,159515.8,euro,5,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,133311.91,euro,6,2025
ACEA PINEROLESE INDUSTRIALE S.P.A.,05059960012,05059960012,BIOMETANO,BMT_10062,106332.38,euro,7,2025
