NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,IMPORTO_EROGATO,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
7EVEN TOWER,91174900356,91174900356,CERTIFICATI BIANCHI,CAR001683,567.2,euro,6,2024
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002122,3196.09,euro,10,2024
A.H. SRL,02170470229,02170470229,CERTIFICATI BIANCHI,CAR002123,4425.36,euro,10,2024
ABBAZIA DI PRAGLIA,00498930288,00863870283,CERTIFICATI BIANCHI,CAR003222,6914.6,euro,11,2024
ABBAZIA DI PRAGLIA,00498930288,00863870283,CERTIFICATI BIANCHI,CAR003223,7161.55,euro,11,2024
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002903,254458.42,euro,7,2024
ABK GROUP INDUSTRIE CERAMICHE S.P.A.,02097380360,02097380360,CERTIFICATI BIANCHI,CAR002904,241182.33,euro,9,2024
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002341,2228.66,euro,5,2024
ACEA PINEROLESE ENERGIA SRL,08547890015,08547890015,CERTIFICATI BIANCHI,CAR002364,5420.82,euro,4,2024
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001795,1052349.06,euro,7,2024
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR001798,786255.52,euro,7,2024
ACEA PRODUZIONE SPA,11381121000,11381121000,CERTIFICATI BIANCHI,CAR003233,938767.5,euro,7,2024
ACINQUE INNOVAZIONE S.R.L.,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001856,5858.37,euro,9,2024
ACINQUE INNOVAZIONE S.R.L.,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001857,4933.37,euro,9,2024
ACINQUE INNOVAZIONE S.R.L.,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001858,4008.36,euro,9,2024
ACINQUE INNOVAZIONE S.R.L.,00802100149,00802100149,CERTIFICATI BIANCHI,CAR001958,21891.82,euro,9,2024
AGRIPLANT SRL,01928660263,01928660263,CERTIFICATI BIANCHI,CAR002899,11359.7,euro,9,2024
ALBA DEL BORGO SOCIETA AGRICOLA S.S.,02579360344,02579360344,CERTIFICATI BIANCHI,CAR001109,522.7,euro,8,2024
ALBERGO AL FOSS S.R.L.,01136580220,01136580220,CERTIFICATI BIANCHI,CAR002823,5185.95,euro,5,2024
ALBERGO AL FOSS S.R.L.,01136580220,01136580220,CERTIFICATI BIANCHI,CAR002823,5185.95,euro,7,2024
ALBERGO ARNIKA DI LASTEI MAURO E C. SAS,02042550224,02042550224,CERTIFICATI BIANCHI,CAR002819,1234.75,euro,9,2024
ALBERGO MONTANARA DI DELLAGIACOMA MICHELE & C. S.A.S.,01192520227,01192520227,CERTIFICATI BIANCHI,CAR003045,4445.1,euro,8,2024
ALBERGO PANORAMA DI BOZZETTA DONATA & C. S.A.S,01096690225,01096690225,CERTIFICATI BIANCHI,CAR002465,1720.98,euro,8,2024
ALBERGO RISTORANTE F.LLI FABBRINI SRL,00101900512,00101900512,CERTIFICATI BIANCHI,CAR001680,1512.52,euro,11,2024
ALBERGO RISTORANTE LA SIRENETTA S.R.L.,00371150319,00371150319,CERTIFICATI BIANCHI,CAR000985,273.8,euro,5,2024
ALBERGO ROSA SNC,01296780222,01296780222,CERTIFICATI BIANCHI,CAR002477,1720.98,euro,8,2024
ALFA SOLAR S.R.L.,03065120788,03065120788,CERTIFICATI BIANCHI,CAR002925,113597,euro,10,2024
ALI S.R.L.,02148390301,02148390301,CERTIFICATI BIANCHI,CAR001784,30149.73,euro,6,2024
ALMHOF HOTEL CALL SAS DI FRANCESCO CALL & C.,00848380218,00848380218,CERTIFICATI BIANCHI,CAR003049,5432.9,euro,11,2024
ALMHOF HOTEL CALL SAS DI FRANCESCO CALL & C.,00848380218,00848380218,CERTIFICATI BIANCHI,CAR003050,5432.9,euro,11,2024
ALPERIA GREEN FUTURE SRL,03900390273,03900390273,CERTIFICATI BIANCHI,CAR003193,1089990,euro,10,2024
ALPI DUE S.R.L.,00412920225,13247230157,CERTIFICATI BIANCHI,CAR003481,1481.7,euro,10,2024
ALPI DUE S.R.L.,00412920225,13247230157,CERTIFICATI BIANCHI,CAR003482,1728.65,euro,10,2024
ALTO GARDA POWER SRL,01993140225,01993140225,CERTIFICATI BIANCHI,CAR002792,7522590.9,euro,5,2024
AMATORI NUOTO FOLLONICA S.S.D. A R.L.,90014080536,01319280531,CERTIFICATI BIANCHI,CAR002212,1720.98,euro,1,2024
AMBIEZ S.R.L.,00607590221,00607590221,CERTIFICATI BIANCHI,CAR002619,1475.13,euro,10,2024
AMBIEZ S.R.L.,00607590221,00607590221,CERTIFICATI BIANCHI,CAR003281,4198.15,euro,10,2024
ANDRIANI SPA,06880780728,06880780728,CERTIFICATI BIANCHI,CAR002766,66361.68,euro,9,2024
ANDRIANI SPA,06880780728,06880780728,CERTIFICATI BIANCHI,CAR002766,64678.26,euro,11,2024
ANTICO BAGNO DI ZULIAN MARCELLO E C. SNC,01098010224,01098010224,CERTIFICATI BIANCHI,CAR002861,6173.75,euro,9,2024
ARIEL SRL,01933230227,01933230227,CERTIFICATI BIANCHI,CAR001846,5230.05,euro,8,2024
ARTSANA SPA,00227010139,00227010139,CERTIFICATI BIANCHI,CAR002261,114321.9,euro,6,2024
ARUBA SPA,04552920482,01573850516,CERTIFICATI BIANCHI,CAR001833,523800.67,euro,5,2024
ASSOCIAZIONE SPORTIVA DILETTANTISTICA SPORTING CLUB MILANO 2,91502440158,06927020153,CERTIFICATI BIANCHI,CAR001938,21843.17,euro,8,2024
ATHENA SPORTING CLUB SSDARL,90030380506,01593350505,CERTIFICATI BIANCHI,CAR002499,1229.27,euro,10,2024
AZ. AGR. SERRE SUL MARE DI FERRARI ALESSANDRO E BRUZZONE STEFANO S.S.,01320810995,01320810995,CERTIFICATI BIANCHI,CAR003508,10371.9,euro,10,2024
AZIENDA MULTISERVIZI CASALESE S.P.A.,91015980062,01639620069,CERTIFICATI BIANCHI,CAR003540,22027.5,euro,11,2024
AZIENDA SERVIZI ALLA PERSONA (ASP) DEI COMUNI DELLA BASSA ROMAGNA,02295380394,02295380394,CERTIFICATI BIANCHI,CAR001332,229.66,euro,8,2024
AZIENDA SERVIZI ALLA PERSONA (ASP) DEI COMUNI DELLA BASSA ROMAGNA,02295380394,02295380394,CERTIFICATI BIANCHI,CAR001334,111.38,euro,8,2024
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001072,29650.39,euro,8,2024
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001298,45927.41,euro,6,2024
AZIENDA USL TOSCANA NORD OVEST,02198590503,02198590503,CERTIFICATI BIANCHI,CAR001774,105354.22,euro,6,2024
BELLAVISTA RELAX S.R.L.,00836890228,00836890228,CERTIFICATI BIANCHI,CAR001654,2646.9,euro,10,2024
BESTE SPA,01629440973,01629440973,CERTIFICATI BIANCHI,CAR003175,7161.55,euro,9,2024
BETULLA SAS DI ALBASINI E. & C,00585520224,00585520224,CERTIFICATI BIANCHI,CAR003519,1975.6,euro,10,2024
BEZIRKSGEMEINSCHAFT BURGGRAFENAMT COMUNITA' COMPRENSORIALE BURGRAVIATO,82007010216,01341190211,CERTIFICATI BIANCHI,CAR002063,8633.39,euro,9,2024
BEZZI FABRIZIO,*************,,CERTIFICATI BIANCHI,CAR000764,326.77,euro,8,2024
BI-QEM S.P.A.,00723430153,00723430153,CERTIFICATI BIANCHI,CAR003358,61737.5,euro,10,2024
BI-QEM S.P.A.,00723430153,00723430153,CERTIFICATI BIANCHI,CAR003359,62231.4,euro,10,2024
BIO TRE PONTI SOCIETA' AGRICOLA SRL,02964880211,02964880211,CERTIFICATI BIANCHI,CAR003380,32597.4,euro,10,2024
BIO VEROLA SOCIETA' AGRICOLA SRL,03003290214,03003290214,CERTIFICATI BIANCHI,CAR002789,21978.55,euro,5,2024
BIOFARMA S.R.L.,02895910301,02895910301,CERTIFICATI BIANCHI,CAR001839,381486.38,euro,12,2024
BISIO PROGETTI SPA,01402670069,01402670069,CERTIFICATI BIANCHI,CAR003170,490195.75,euro,6,2024
BITRON SPA,03731360016,03731360016,CERTIFICATI BIANCHI,CAR002777,142984.05,euro,6,2024
