NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALBA DE BIASE e C SAS,04764730638,04764730638,BIOCARBURANTI,GSEWEB2023385527NP,594,quantita,5,2023
ENI SPA,00484960588,00905811006,BIOCARBURANTI,GSEWEB2023607615NP,639577,quantita,8,2023
ESSO ITALIANA SRL,00473410587,00902231000,BIOCARBURANTI,GSEWEB2023448612NP,231289,quantita,6,2023
EUROPETROL ITALIA SRL,04940110283,04940110283,BIOCARBURANTI,GSEWEB2023385524NP,2057,quantita,5,2023
GETOIL SRL,03646260962,03646260962,BIOCARBURANTI,GSEWEB2023406421NP,89,quantita,5,2023
IES - ITALIANA ENERGIA E SERVIZI SPA,00685490377,03123470100,BIOCARBURANTI,GSEWEB2023391328NP,61305,quantita,5,2023
IPLOM SPA,02242120109,11616440159,BIOCARBURANTI,GSEWEB2023391329NP,23213,quantita,5,2023
ISAB S.R.L.,01629050897,01629050897,BIOCARBURANTI,GSEWEB2023491688NP,36839,quantita,6,2023
ITALIANA PETROLI S.P.A.,00051570893,00051570893,BIOCARBURANTI,GSEWEB2023385543NP,249471,quantita,5,2023
KUWAIT PETROLEUM ITALIA SPA,00435970587,00891951006,BIOCARBURANTI,GSEWEB2023385546NP,293535,quantita,5,2023
LEVANTOIL,06630440821,06630440821,BIOCARBURANTI,GSEWEB2023398246NP,107,quantita,5,2023
LUDOIL ENERGIA SRL,07047491217,07047491217,BIOCARBURANTI,GSEWEB2023412591NP,31163,quantita,5,2023
LUKOIL ITALIA SRL,10246551005,10246551005,BIOCARBURANTI,GSEWEB2023385544NP,5998,quantita,5,2023
NOALOIL EVOLUTION S.R.L.,00239300270,00239300270,BIOCARBURANTI,GSEWEB2023406420NP,111,quantita,5,2023
SAN MARCO PETROLI SPA,00164290272,00164290272,BIOCARBURANTI,GSEWEB2023385549NP,22469,quantita,5,2023
SARAS S.P.A.,00136440922,00136440922,BIOCARBURANTI,GSEWEB2023385548NP,101523,quantita,5,2023
TAMOIL ITALIA S.P.A.,00698550159,00698550159,BIOCARBURANTI,GSEWEB2023393165NP,143885,quantita,5,2023
VEGA CARBURANTI S.P.A.,00167460278,00167460278,BIOCARBURANTI,GSEWEB2023391331NP,6233,quantita,5,2023
