NOMINATIVO_DEL_SOGGETTO_BENEFICIARIO,CODICE_FISCALE_DEL_SOGGETTO_BENEFICIARIO,PARTITA_IVA_DEL_SOGGETTO_BENEFICIARIO,CATEGORIA,ATTO_DI_CONCESSIONE,TITOLI_RILASCIATI,UNITA_DI_MISURA,MESE_DI_EROGAZIONE,ANNO_DI_EROGAZIONE
ALPIQ_HYDRO_ITALIA_SRL,02284190028,02284190028,CERTIFICATI VERDI,106,14371,quantita,5,2023
CONSORTIUM_WALDER_e_MAIRHOFER,01435930217,01435930217,CERTIFICATI VERDI,4754,867,quantita,12,2023
CVA_SPA,01013130073,01013130073,CERTIFICATI VERDI,7210,-117,quantita,10,2023
EN.IT._SPA,09401601001,09401601001,CERTIFICATI VERDI,8236,3133,quantita,7,2023
EN.IT._SPA,09401601001,09401601001,CERTIFICATI VERDI,8236,4331,quantita,8,2023
ENERGY_EU_S.R.L.,13949481009,13949481009,CERTIFICATI VERDI,8235,3748,quantita,7,2023
ENERGY_EU_S.R.L.,13949481009,13949481009,CERTIFICATI VERDI,8235,2851,quantita,8,2023
ENERGY_EU_S.R.L.,13949481009,13949481009,CERTIFICATI VERDI,8238,3211,quantita,7,2023
ENERGY_EU_S.R.L.,13949481009,13949481009,CERTIFICATI VERDI,8238,4505,quantita,8,2023
ENERGY_WIND_S.R.L.,13949491008,13949491008,CERTIFICATI VERDI,8234,3513,quantita,7,2023
ENERGY_WIND_S.R.L.,13949491008,13949491008,CERTIFICATI VERDI,8234,3713,quantita,8,2023
ENERGY_WIND_S.R.L.,13949491008,13949491008,CERTIFICATI VERDI,8237,3239,quantita,7,2023
ENERGY_WIND_S.R.L.,13949491008,13949491008,CERTIFICATI VERDI,8237,4538,quantita,8,2023
HYDRO_DOLOMITI_ENERGIA_S.R.L.,02075180220,02075180220,CERTIFICATI VERDI,1539,12802,quantita,6,2023
IREN_ENERGIA_S.P.A.,09357630012,09357630012,CERTIFICATI VERDI,6723,77564,quantita,10,2023
MARIO_SRL,02351170424,02351170424,CERTIFICATI VERDI,6245,1793,quantita,1,2023
MARIO_SRL,02351170424,02351170424,CERTIFICATI VERDI,6245,6508,quantita,3,2023
ROMAGNA_ENERGIA_S.R.L.,08823431005,08823431005,CERTIFICATI VERDI,1591,8114,quantita,9,2023
